,numero,url,nome,tipos,Peso_kg,altura_cm,efetividade_dict,habilidades_nomes,habilidades_urls,habilidades_descricoes,numero_evol,level_evol,item_evol,nome_evol,url_evol
15,56,https://pokemondb.net/pokedex/mankey,Mankey,Fighting,28.0,50.0,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '1', 'Poi': '1', 'Gro': '1'}",Defiant; Anger Point; Vital Spirit,https://pokemondb.net/ability/defiant; https://pokemondb.net/ability/anger-point; https://pokemondb.net/ability/vital-spirit,"Defiant raises the ability-bearer's Attack by two stages when hit by a stat-lowering move. Stats can be raised to a maximum of +6 stages each.; Anger Point raises the ability-bearer's Attack to its maximum level - +6 stages or 4× usual power - when a move targeting it receives a critical hit.; Vital Spirit prevents the ability-bearer from falling asleep. This means that it also prevents the use of the move Rest . If a Pokémon with Vital Spirit is the leading party Pokémon, wild Pokémon are 50% more likely to be higher level.",#0057; #0979,Use Rage Fist 20 times; None,None; None,Primeape; Annihilape,https://pokemondb.net/pokedex/primeape; https://pokemondb.net/pokedex/annihilape
16,1,https://pokemondb.net/pokedex/bulbasaur,Bulbasaur,"Grass, Poison",6.9,70.0,"{'Nor': '1', 'Fir': '2', 'Wat': '½', 'Ele': '½', 'Gra': '¼', 'Ice': '2', 'Fig': '½', 'Poi': '1', 'Gro': '1'}",Chlorophyll; Overgrow,https://pokemondb.net/ability/chlorophyll; https://pokemondb.net/ability/overgrow,Chlorophyll doubles the ability-bearer's Speed during bright sunshine .; Overgrow increases the power of Grass -type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch ).,#0002; #0003,Level 32; None,None; None,Ivysaur; Venusaur,https://pokemondb.net/pokedex/ivysaur; https://pokemondb.net/pokedex/venusaur
17,1024,https://pokemondb.net/pokedex/terapagos,Terapagos,Normal,6.5,20.0,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '2', 'Poi': '1', 'Gro': '1'}",Tera Shift,https://pokemondb.net/ability/tera-shift,"When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.",None,None,None,None,None
20,1023,https://pokemondb.net/pokedex/iron-crown,Iron Crown,"Steel, Psychic",156.0,160.0,"{'Nor': '½', 'Fir': '2', 'Wat': '1', 'Ele': '1', 'Gra': '½', 'Ice': '½', 'Fig': '1', 'Poi': '0', 'Gro': '2'}",Quark Drive,https://pokemondb.net/ability/quark-drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.",None,None,None,None,None
21,1022,https://pokemondb.net/pokedex/iron-boulder,Iron Boulder,"Rock, Psychic",162.5,150.0,"{'Nor': '½', 'Fir': '½', 'Wat': '2', 'Ele': '1', 'Gra': '2', 'Ice': '1', 'Fig': '1', 'Poi': '½', 'Gro': '2'}",Quark Drive,https://pokemondb.net/ability/quark-drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.",None,None,None,None,None
22,1021,https://pokemondb.net/pokedex/raging-bolt,Raging Bolt,"Electric, Dragon",480.0,520.0,"{'Nor': '1', 'Fir': '½', 'Wat': '½', 'Ele': '¼', 'Gra': '½', 'Ice': '2', 'Fig': '1', 'Poi': '1', 'Gro': '2'}",Protosynthesis,https://pokemondb.net/ability/protosynthesis,"Raises highest stat in harsh sunlight, or if holding Booster Energy.",None,None,None,None,None
23,1020,https://pokemondb.net/pokedex/gouging-fire,Gouging Fire,"Fire, Dragon",590.0,350.0,"{'Nor': '1', 'Fir': '¼', 'Wat': '1', 'Ele': '½', 'Gra': '¼', 'Ice': '1', 'Fig': '1', 'Poi': '1', 'Gro': '2'}",Protosynthesis,https://pokemondb.net/ability/protosynthesis,"Raises highest stat in harsh sunlight, or if holding Booster Energy.",None,None,None,None,None
24,1013,https://pokemondb.net/pokedex/sinistcha,Sinistcha,"Grass, Ghost",2.2,20.0,"{'Nor': '0', 'Fir': '2', 'Wat': '½', 'Ele': '½', 'Gra': '½', 'Ice': '2', 'Fig': '0', 'Poi': '1', 'Gro': '½'}",Heatproof; Hospitality,https://pokemondb.net/ability/heatproof; https://pokemondb.net/ability/hospitality,"Heatproof reduces the damage taken from Fire -type moves by 50%. It also halves the damage from a burn, from 1 ⁄ 8 to 1 ⁄ 16 of the Pokémon's maximum HP.; When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP.",None,None,None,None,None
25,1014,https://pokemondb.net/pokedex/okidogi,Okidogi,"Poison, Fighting",92.0,180.0,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '½', 'Ice': '1', 'Fig': '½', 'Poi': '½', 'Gro': '2'}",Guard Dog; Toxic Chain,https://pokemondb.net/ability/guard-dog; https://pokemondb.net/ability/toxic-chain,"Boosts Attack if intimidated, and prevents being forced to switch out.; Toxic Chain may cause bad poisoning when the Pokémon hits an opponent with a move. Toxic Chain is a new ability available in the Scarlet/Violet DLC.",None,None,None,None,None
26,1015,https://pokemondb.net/pokedex/munkidori,Munkidori,"Poison, Psychic",12.2,100.0,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '½', 'Ice': '1', 'Fig': '¼', 'Poi': '½', 'Gro': '2'}",Frisk; Toxic Chain,https://pokemondb.net/ability/frisk; https://pokemondb.net/ability/toxic-chain,The Pokémon can check a foe's held item.; Toxic Chain may cause bad poisoning when the Pokémon hits an opponent with a move. Toxic Chain is a new ability available in the Scarlet/Violet DLC.,None,None,None,None,None
27,1016,https://pokemondb.net/pokedex/fezandipiti,Fezandipiti,"Poison, Fairy",30.1,140.0,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '½', 'Ice': '1', 'Fig': '¼', 'Poi': '1', 'Gro': '2'}",Technician; Toxic Chain,https://pokemondb.net/ability/technician; https://pokemondb.net/ability/toxic-chain,"Technician increases the power of moves - that are usually base power 60 or below - by 50%. Moves with variable base power are boosted only when it is 60 or below. For example, if Magnitude hits at level 6 it will be boosted from 50 to 75, but level 7 will stay at 70 base power. Moves like Sonic Boom that deal fixed HP damage are not affected by Technician .; Toxic Chain may cause bad poisoning when the Pokémon hits an opponent with a move. Toxic Chain is a new ability available in the Scarlet/Violet DLC.",None,None,None,None,None
28,1017,https://pokemondb.net/pokedex/ogerpon,Ogerpon,Grass,39.8,120.0,"{'Nor': '1', 'Fir': '2', 'Wat': '½', 'Ele': '½', 'Gra': '½', 'Ice': '2', 'Fig': '1', 'Poi': '2', 'Gro': '½'}",Embody Aspect; Defiant,https://pokemondb.net/ability/embody-aspect; https://pokemondb.net/ability/defiant,"Embody Aspect boosts a particular stat, depending on the form of a Terastallized Ogerpon :; Defiant raises the ability-bearer's Attack by two stages when hit by a stat-lowering move. Stats can be raised to a maximum of +6 stages each.",None,None,None,None,None
32,1018,https://pokemondb.net/pokedex/archaludon,Archaludon,"Steel, Dragon",60.0,200.0,"{'Nor': '½', 'Fir': '1', 'Wat': '½', 'Ele': '½', 'Gra': '¼', 'Ice': '1', 'Fig': '2', 'Poi': '0', 'Gro': '2'}",Stalwart; Stamina; Sturdy,https://pokemondb.net/ability/stalwart; https://pokemondb.net/ability/stamina; https://pokemondb.net/ability/sturdy,"Ignores moves and abilities that draw in moves.; Stamina raises the bearer's Defense by one stage when it is attacked by any move. Stats can be raised to a maximum of +6 stages each.; Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves ( Fissure , Horn Drill , Guillotine or Sheer Cold ). If Sturdy activates before the final hit of a multi-hit move (such as Fury Swipes ), the subsequent hit will still deal damage and therefore cause the Pokémon to faint. Sturdy does not prevent self-inflicted KO moves such as Selfdestruct , Explosion and Final Gambit .",None,None,None,None,None
33,1019,https://pokemondb.net/pokedex/hydrapple,Hydrapple,"Grass, Dragon",93.0,180.0,"{'Nor': '1', 'Fir': '1', 'Wat': '¼', 'Ele': '¼', 'Gra': '¼', 'Ice': '4', 'Fig': '1', 'Poi': '2', 'Gro': '½'}",Sticky Hold; Regenerator; Supersweet Syrup,https://pokemondb.net/ability/sticky-hold; https://pokemondb.net/ability/regenerator; https://pokemondb.net/ability/supersweet-syrup,"Sticky Hold prevents held items from being taken or switched. If a Pokémon with Sticky Hold is the leading party Pokémon, the chance of hooking a Pokémon during fishing increases.; A Pokémon with Regenerator restores 1 ⁄ 3 of its maximum HP when switching out.; A sickly sweet scent spreads across the field the first time the Pokémon enters a battle, lowering the evasiveness of opposing Pokémon.",None,None,None,None,None
34,1010,https://pokemondb.net/pokedex/iron-leaves,Iron Leaves,"Grass, Psychic",125.0,150.0,"{'Nor': '1', 'Fir': '2', 'Wat': '½', 'Ele': '½', 'Gra': '½', 'Ice': '2', 'Fig': '½', 'Poi': '2', 'Gro': '½'}",Quark Drive,https://pokemondb.net/ability/quark-drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.",None,None,None,None,None
35,1009,https://pokemondb.net/pokedex/walking-wake,Walking Wake,"Water, Dragon",280.0,350.0,"{'Nor': '1', 'Fir': '¼', 'Wat': '¼', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '1', 'Poi': '1', 'Gro': '1'}",Protosynthesis,https://pokemondb.net/ability/protosynthesis,"Raises highest stat in harsh sunlight, or if holding Booster Energy.",None,None,None,None,None
36,1008,https://pokemondb.net/pokedex/miraidon,Miraidon,"Electric, Dragon",240.0,350.0,"{'Nor': '1', 'Fir': '½', 'Wat': '½', 'Ele': '¼', 'Gra': '½', 'Ice': '2', 'Fig': '1', 'Poi': '1', 'Gro': '2'}",Hadron Engine,https://pokemondb.net/ability/hadron-engine,"Creates an Electric Terrain when entering battle, and boosts Special Attack while active.",None,None,None,None,None
37,1007,https://pokemondb.net/pokedex/koraidon,Koraidon,"Fighting, Dragon",303.0,250.0,"{'Nor': '1', 'Fir': '½', 'Wat': '½', 'Ele': '½', 'Gra': '½', 'Ice': '2', 'Fig': '1', 'Poi': '1', 'Gro': '1'}",Orichalcum Pulse,https://pokemondb.net/ability/orichalcum-pulse,"Turns the sunlight harsh when entering battle, and boosts Attack while active.",None,None,None,None,None
38,1006,https://pokemondb.net/pokedex/iron-valiant,Iron Valiant,"Fairy, Fighting",35.0,140.0,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '½', 'Poi': '2', 'Gro': '1'}",Quark Drive,https://pokemondb.net/ability/quark-drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.",None,None,None,None,None
39,1005,https://pokemondb.net/pokedex/roaring-moon,Roaring Moon,"Dragon, Dark",380.0,200.0,"{'Nor': '1', 'Fir': '½', 'Wat': '½', 'Ele': '½', 'Gra': '½', 'Ice': '2', 'Fig': '2', 'Poi': '1', 'Gro': '1'}",Protosynthesis,https://pokemondb.net/ability/protosynthesis,"Raises highest stat in harsh sunlight, or if holding Booster Energy.",None,None,None,None,None
40,1004,https://pokemondb.net/pokedex/chi-yu,Chi-Yu,"Dark, Fire",4.9,40.0,"{'Nor': '1', 'Fir': '½', 'Wat': '2', 'Ele': '1', 'Gra': '½', 'Ice': '½', 'Fig': '2', 'Poi': '1', 'Gro': '2'}",Beads of Ruin,https://pokemondb.net/ability/beads-of-ruin,Lowers Special Defense of all Pokémon except itself.,None,None,None,None,None
41,1003,https://pokemondb.net/pokedex/ting-lu,Ting-Lu,"Dark, Ground",699.7,270.0,"{'Nor': '1', 'Fir': '1', 'Wat': '2', 'Ele': '0', 'Gra': '2', 'Ice': '2', 'Fig': '2', 'Poi': '½', 'Gro': '1'}",Vessel of Ruin,https://pokemondb.net/ability/vessel-of-ruin,Lowers Special Attack of all Pokémon except itself.,None,None,None,None,None
42,1002,https://pokemondb.net/pokedex/chien-pao,Chien-Pao,"Dark, Ice",152.2,190.0,"{'Nor': '1', 'Fir': '2', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '½', 'Fig': '4', 'Poi': '1', 'Gro': '1'}",Sword of Ruin,https://pokemondb.net/ability/sword-of-ruin,Lowers Defense of all Pokémon except itself.,None,None,None,None,None
43,1001,https://pokemondb.net/pokedex/wo-chien,Wo-Chien,"Dark, Grass",74.2,150.0,"{'Nor': '1', 'Fir': '2', 'Wat': '½', 'Ele': '½', 'Gra': '½', 'Ice': '2', 'Fig': '2', 'Poi': '2', 'Gro': '½'}",Tablets of Ruin,https://pokemondb.net/ability/tablets-of-ruin,Lowers Attack of all Pokémon except itself.,None,None,None,None,None
44,1000,https://pokemondb.net/pokedex/gholdengo,Gholdengo,"Steel, Ghost",30.0,120.0,"{'Nor': '0', 'Fir': '2', 'Wat': '1', 'Ele': '1', 'Gra': '½', 'Ice': '½', 'Fig': '0', 'Poi': '0', 'Gro': '2'}",Good as Gold,https://pokemondb.net/ability/good-as-gold,Gives immunity to status moves.,None,None,None,None,None
45,999,https://pokemondb.net/pokedex/gimmighoul,Gimmighoul,Ghost,5.0,30.0,"{'Nor': '0', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '0', 'Poi': '½', 'Gro': '1'}",Rattled,https://pokemondb.net/ability/rattled,"When a Pokémon with Rattled is hit by a Bug , Ghost or Dark type move, its Speed is raised one stage (up to the usual maximum of +6 stages).",#1000,None,None,Gholdengo,https://pokemondb.net/pokedex/gholdengo
47,997,https://pokemondb.net/pokedex/arctibax,Arctibax,"Dragon, Ice",30.0,80.0,"{'Nor': '1', 'Fir': '1', 'Wat': '½', 'Ele': '½', 'Gra': '½', 'Ice': '1', 'Fig': '2', 'Poi': '1', 'Gro': '1'}",Ice Body; Thermal Exchange,https://pokemondb.net/ability/ice-body; https://pokemondb.net/ability/thermal-exchange,"A Pokémon with Ice Body will recover 1 ⁄ 16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune.; Raises Attack when hit by a Fire-type move. Cannot be burned.",#0998,None,None,Baxcalibur,https://pokemondb.net/pokedex/baxcalibur
48,998,https://pokemondb.net/pokedex/baxcalibur,Baxcalibur,"Dragon, Ice",210.0,210.0,"{'Nor': '1', 'Fir': '1', 'Wat': '½', 'Ele': '½', 'Gra': '½', 'Ice': '1', 'Fig': '2', 'Poi': '1', 'Gro': '1'}",Ice Body; Thermal Exchange,https://pokemondb.net/ability/ice-body; https://pokemondb.net/ability/thermal-exchange,"A Pokémon with Ice Body will recover 1 ⁄ 16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune.; Raises Attack when hit by a Fire-type move. Cannot be burned.",None,None,None,None,None
49,1011,https://pokemondb.net/pokedex/dipplin,Dipplin,"Grass, Dragon",4.4,40.0,"{'Nor': '1', 'Fir': '1', 'Wat': '¼', 'Ele': '¼', 'Gra': '¼', 'Ice': '4', 'Fig': '1', 'Poi': '2', 'Gro': '½'}",Sticky Hold; Gluttony; Supersweet Syrup,https://pokemondb.net/ability/sticky-hold; https://pokemondb.net/ability/gluttony; https://pokemondb.net/ability/supersweet-syrup,"Sticky Hold prevents held items from being taken or switched. If a Pokémon with Sticky Hold is the leading party Pokémon, the chance of hooking a Pokémon during fishing increases.; A Pokémon with Gluttony will use a pinch berry when its HP drops to 50%, rather than the usual 25%. Pinch berries are: Figy, Wiki, Mago, Aguav, Iapapa, Liechi, Ganlon, Salac, Petaya, Apicot, Lansat, Starf, Micle and Custap. (Their descriptions state that they work in a pinch. ); A sickly sweet scent spreads across the field the first time the Pokémon enters a battle, lowering the evasiveness of opposing Pokémon.",None,None,None,None,None
50,1012,https://pokemondb.net/pokedex/poltchageist,Poltchageist,"Grass, Ghost",1.1,10.0,"{'Nor': '0', 'Fir': '2', 'Wat': '½', 'Ele': '½', 'Gra': '½', 'Ice': '2', 'Fig': '0', 'Poi': '1', 'Gro': '½'}",Heatproof; Hospitality,https://pokemondb.net/ability/heatproof; https://pokemondb.net/ability/hospitality,"Heatproof reduces the damage taken from Fire -type moves by 50%. It also halves the damage from a burn, from 1 ⁄ 8 to 1 ⁄ 16 of the Pokémon's maximum HP.; When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP.",#1013,None,None,Sinistcha,https://pokemondb.net/pokedex/sinistcha
51,995,https://pokemondb.net/pokedex/iron-thorns,Iron Thorns,"Rock, Electric",303.0,160.0,"{'Nor': '½', 'Fir': '½', 'Wat': '2', 'Ele': '½', 'Gra': '2', 'Ice': '1', 'Fig': '2', 'Poi': '½', 'Gro': '4'}",Quark Drive,https://pokemondb.net/ability/quark-drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.",None,None,None,None,None
52,994,https://pokemondb.net/pokedex/iron-moth,Iron Moth,"Fire, Poison",36.0,120.0,"{'Nor': '1', 'Fir': '½', 'Wat': '2', 'Ele': '1', 'Gra': '¼', 'Ice': '½', 'Fig': '½', 'Poi': '½', 'Gro': '4'}",Quark Drive,https://pokemondb.net/ability/quark-drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.",None,None,None,None,None
53,993,https://pokemondb.net/pokedex/iron-jugulis,Iron Jugulis,"Dark, Flying",111.0,130.0,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '2', 'Gra': '½', 'Ice': '2', 'Fig': '1', 'Poi': '1', 'Gro': '0'}",Quark Drive,https://pokemondb.net/ability/quark-drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.",None,None,None,None,None
54,992,https://pokemondb.net/pokedex/iron-hands,Iron Hands,"Fighting, Electric",380.7,180.0,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '½', 'Gra': '1', 'Ice': '1', 'Fig': '1', 'Poi': '1', 'Gro': '2'}",Quark Drive,https://pokemondb.net/ability/quark-drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.",None,None,None,None,None
55,991,https://pokemondb.net/pokedex/iron-bundle,Iron Bundle,"Ice, Water",11.0,60.0,"{'Nor': '1', 'Fir': '1', 'Wat': '½', 'Ele': '2', 'Gra': '2', 'Ice': '¼', 'Fig': '2', 'Poi': '1', 'Gro': '1'}",Quark Drive,https://pokemondb.net/ability/quark-drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.",None,None,None,None,None
56,990,https://pokemondb.net/pokedex/iron-treads,Iron Treads,"Ground, Steel",240.0,90.0,"{'Nor': '½', 'Fir': '2', 'Wat': '2', 'Ele': '0', 'Gra': '1', 'Ice': '1', 'Fig': '2', 'Poi': '0', 'Gro': '2'}",Quark Drive,https://pokemondb.net/ability/quark-drive,"Raises highest stat on Electric Terrain, or if holding Booster Energy.",None,None,None,None,None
